TrackingID,BookingDate,PickupDate,DeliveryDate,OriginCity,DestinationCity,WeightKg,PackageType,ServiceType,DeliveryMode,Price,Status,DelayReason,DeliveryDelayDays,ProcessingTimeHours,ExpectedDays,IsDelayed,BookingMonth,BookingDay,BookingHour,PickupHour,IsInterCity,IsPeakHour,FromMajorCity,ToMajorCity
DAW00000,2024-01-01 00:00:00,2024-01-01 04:00:00,2024-01-05 19:00:00,Sukkur,Gujranwala,41.37,Cargo,Economy,Bus,4197.32,Delayed,None,4,4.0,4,0,1,1,0,4,1,0,0,0
DAW00001,2024-01-01 01:00:00,2024-01-01 06:00:00,2024-01-05 16:00:00,Islamabad,Sukkur,81.85,Parcel,Economy,Ground,1766.34,Delayed,Weather,4,5.0,4,0,1,1,1,6,1,0,1,0
DAW00002,2024-01-01 02:00:00,2024-01-01 05:00:00,2024-01-03 18:00:00,Lahore,Quetta,89.56,Documents,Economy,Air,3693.6,Delayed,Weather,2,3.0,4,0,1,1,2,5,1,0,1,0
DAW00003,2024-01-01 03:00:00,2024-01-01 08:00:00,2024-01-03 14:00:00,Karachi,Karachi,85.4,Parcel,Economy,Bus,650.77,Delayed,Operational,2,5.0,4,0,1,1,3,8,0,1,1,1
DAW00004,2024-01-01 04:00:00,2024-01-01 09:00:00,2024-01-04 01:00:00,Islamabad,Karachi,67.52,Parcel,Economy,Bus,3365.0,Delivered,None,2,5.0,4,0,1,1,4,9,1,1,1,1
DAW00005,2024-01-01 05:00:00,2024-01-01 07:00:00,2024-01-03 21:00:00,Faisalabad,Faisalabad,14.17,Parcel,Economy,Bus,1720.39,Delivered,Weather,2,2.0,4,0,1,1,5,7,0,0,0,0
DAW00006,2024-01-01 06:00:00,2024-01-01 09:00:00,2024-01-03 15:00:00,Gujranwala,Multan,28.05,Parcel,Economy,Ground,3798.81,Delivered,None,2,3.0,4,0,1,1,6,9,1,1,0,0
DAW00007,2024-01-01 07:00:00,2024-01-01 10:00:00,2024-01-05 23:00:00,Lahore,Islamabad,5.08,Documents,Economy,Bus,854.01,Delivered,None,4,3.0,4,0,1,1,7,10,1,1,1,1
DAW00008,2024-01-01 08:00:00,2024-01-01 11:00:00,2024-01-04 05:00:00,Islamabad,Sukkur,93.12,Cargo,Express,Ground,4509.84,Delayed,Weather,2,3.0,2,0,1,1,8,11,1,1,1,0
DAW00009,2024-01-01 09:00:00,2024-01-01 14:00:00,2024-01-05 10:00:00,Rawalpindi,Hyderabad,66.25,Documents,Economy,Bus,1364.37,Delivered,Operational,3,5.0,4,0,1,1,9,14,1,1,0,0
DAW00010,2024-01-01 10:00:00,2024-01-01 14:00:00,2024-01-03 23:00:00,Peshawar,Multan,74.76,Documents,Economy,Bus,1895.06,Delivered,None,2,4.0,4,0,1,1,10,14,1,1,0,0
DAW00011,2024-01-01 11:00:00,2024-01-01 14:00:00,2024-01-06 02:00:00,Islamabad,Rawalpindi,31.5,Parcel,Express,Bus,4760.87,Delivered,Operational,4,3.0,2,1,1,1,11,14,1,1,1,0
DAW00012,2024-01-01 12:00:00,2024-01-01 17:00:00,2024-01-05 10:00:00,Sukkur,Peshawar,84.64,Parcel,Economy,Bus,2976.72,Delayed,Operational,3,5.0,4,0,1,1,12,17,1,1,0,0
DAW00013,2024-01-01 13:00:00,2024-01-01 15:00:00,2024-01-04 17:00:00,Quetta,Quetta,26.33,Documents,Express,Ground,1955.7,Delivered,None,3,2.0,2,1,1,1,13,15,0,1,0,0
